Número de candidatos votados - prefeito
Sigla;Código;Município;2004;2008;2012;2016;2020;
MG;3107802;Bom Jesus do Galho;3;3;2;3;4;
MG;3107901;Bom Repouso;3;2;2;3;2;
MG;3108008;Bom Sucesso;3;2;3;;3;
MG;3108107;Bonfim;2;2;3;4;3;
MG;3108206;Bonfinópolis de Minas;2;2;2;2;4;
MG;3108255;Bonito de Minas;2;2;2;2;2;
MG;3108305;Borda da Mata;2;4;2;5;4;
MG;3108404;Botelhos;4;4;2;6;3;
MG;3108503;Botumirim;2;2;2;2;4;
MG;3108552;Brasilândia de Minas;3;3;5;2;4;
MG;3108602;Brasília de Minas;3;4;2;3;6;
MG;3108701;Brás Pires;2;2;2;2;2;
MG;3108800;Braúnas;2;4;2;3;2;
MG;3108909;Brasópolis;6;4;4;4;3;
MG;3109006;Brumadinho;4;4;2;5;6;
MG;3109105;Bueno Brandão;3;2;3;2;2;
MG;3109204;Buenópolis;4;2;4;3;4;
MG;3109253;Bugre;2;3;2;2;3;
MG;3109303;Buritis;3;2;3;3;3;
MG;3109402;Buritizeiro;2;3;4;3;8;
MG;3109451;Cabeceira Grande;4;4;4;;3;
MG;3109501;Cabo Verde;3;2;2;2;2;
MG;3109600;Cachoeira da Prata;3;3;2;3;3;
MG;3109709;Cachoeira de Minas;4;2;3;3;3;
MG;3109808;Cachoeira Dourada;2;2;;2;3;
MG;3109907;Caetanópolis;1;4;2;3;3;
MG;3110004;Caeté;2;4;5;3;5;
MG;3110103;Caiana;3;3;2;2;2;
MG;3110202;Cajuri;2;2;2;2;2;
MG;3110301;Caldas;2;2;2;2;3;
MG;3110400;Camacho;2;2;2;;2;
MG;3110509;Camanducaia;4;3;3;2;4;
MG;3110608;Cambuí;4;2;;5;4;
MG;3110707;Cambuquira;5;5;3;4;5;
MG;3110806;Campanário;2;2;3;2;2;
MG;3110905;Campanha;5;2;2;3;3;
MG;3111002;Campestre;3;1;2;2;1;
MG;3111101;Campina Verde;3;2;2;3;5;
MG;3111150;Campo Azul;2;3;2;;2;
MG;3111200;Campo Belo;3;2;3;3;5;
MG;3111309;Campo do Meio;3;3;2;2;4;
MG;3111408;Campo Florido;3;2;2;4;2;
MG;3111507;Campos Altos;3;3;4;3;4;
MG;3111606;Campos Gerais;3;2;4;2;5;
MG;3111705;Canaã;2;2;2;;3;
MG;3111804;Canápolis;2;2;;3;4;
MG;3111903;Cana Verde;2;2;2;2;4;
MG;3112000;Candeias;3;2;4;3;2;
MG;3112059;Cantagalo;2;2;3;2;3;
MG;3112109;Caparaó;2;2;2;3;3;
MG;3112208;Capela Nova;2;2;2;2;3;
MG;3112307;Capelinha;2;4;2;3;4;
MG;3112406;Capetinga;3;2;4;3;4;
MG;3112505;Capim Branco;3;2;5;2;4;
MG;3112604;Capinópolis;2;3;3;3;3;
MG;3112653;Capitão Andrade;2;2;3;2;4;
MG;3112703;Capitão Enéas;4;3;3;2;4;
MG;3112802;Capitólio;3;2;2;2;2;
MG;3112901;Caputira;3;2;3;2;4;
MG;3113008;Caraí;2;2;2;4;2;
MG;3113107;Caranaíba;2;2;2;2;2;
MG;3113206;Carandaí;3;2;3;3;2;
MG;3113305;Carangola;4;5;3;4;5;
MG;3113404;Caratinga;3;2;4;;4;
MG;3113503;Carbonita;2;2;2;2;4;
MG;3113602;Careaçu;2;2;2;2;2;
MG;3113701;Carlos Chagas;3;2;2;2;4;
MG;3113800;Carmésia;1;2;1;1;2;
MG;3113909;Carmo da Cachoeira;4;2;3;3;3;
MG;3114006;Carmo da Mata;4;2;2;;3;
MG;3114105;Carmo de Minas;2;2;3;2;3;
MG;3114204;Carmo do Cajuru;3;2;4;3;1;
MG;3114303;Carmo do Paranaíba;4;5;3;3;4;
MG;3114402;Carmo do Rio Claro;3;3;3;;7;
MG;3114501;Carmópolis de Minas;3;3;3;3;4;
MG;3114550;Carneirinho;3;2;3;3;2;
MG;3114600;Carrancas;3;2;3;1;2;
MG;3114709;Carvalhópolis;2;2;2;3;2;
MG;3114808;Carvalhos;3;2;2;2;3;
MG;3114907;Casa Grande;2;2;2;2;2;
MG;3115003;Cascalho Rico;2;2;2;4;2;
MG;3115102;Cássia;3;2;2;5;7;
MG;3115201;Conceição da Barra de Minas;2;2;2;;2;
MG;3115300;Cataguases;4;7;2;5;8;
MG;3115359;Catas Altas;3;2;3;3;2;
MG;3115409;Catas Altas da Noruega;4;2;2;3;2;
MG;3115458;Catuji;2;3;2;2;4;
MG;3115474;Catuti;2;2;2;2;2;
MG;3115508;Caxambu;4;4;;7;3;
MG;3115607;Cedro do Abaeté;2;2;2;2;2;
MG;3115706;Central de Minas;2;2;2;2;2;
MG;3115805;Centralina;;2;2;2;2;
MG;3115904;Chácara;2;2;2;2;3;
MG;3116001;Chalé;2;2;2;;2;
MG;3116100;Chapada do Norte;2;2;2;2;2;
MG;3116159;Chapada Gaúcha;3;2;2;3;4;
MG;3116209;Chiador;3;2;3;;4;
MG;3116308;Cipotânea;3;2;2;2;2;
MG;3116407;Claraval;2;3;3;3;2;
MG;3116506;Claro dos Poções;3;2;3;3;2;
MG;3116605;Cláudio;2;3;;3;4;
MG;3116704;Coimbra;2;2;2;3;4;
MG;3116803;Coluna;3;4;2;4;2;
MG;3116902;Comendador Gomes;3;3;2;1;2;
MG;3117009;Comercinho;4;4;1;3;4;
MG;3117108;Conceição da Aparecida;4;3;3;2;3;
MG;3117207;Conceição das Pedras;2;2;2;2;2;
MG;3117306;Conceição das Alagoas;3;2;2;2;2;
MG;3117405;Conceição de Ipanema;2;2;2;2;2;
MG;3117504;Conceição do Mato Dentro;3;3;4;3;2;
MG;3117603;Conceição do Pará;2;4;2;2;5;
MG;3117702;Conceição do Rio Verde;4;1;5;;3;
MG;3117801;Conceição dos Ouros;2;2;2;2;2;
MG;3117836;Cônego Marinho;2;2;2;2;3;
MG;3117876;Confins;2;4;5;3;4;
MG;3117900;Congonhal;2;3;2;2;2;
MG;3118007;Congonhas;2;6;7;4;7;
MG;3118106;Congonhas do Norte;3;2;2;2;2;
MG;3118205;Conquista;2;3;2;3;3;
MG;3118304;Conselheiro Lafaiete;3;6;4;;8;
MG;3118403;Conselheiro Pena;2;3;2;4;4;
MG;3118502;Consolação;4;3;2;2;1;
MG;3118601;Contagem;4;8;6;10;14;
MG;3118700;Coqueiral;2;4;2;;2;
MG;3118809;Coração de Jesus;3;4;3;;5;
MG;3118908;Cordisburgo;2;2;2;2;3;
MG;3119005;Cordislândia;2;2;5;2;3;
MG;3119104;Corinto;5;3;3;2;4;
MG;3119203;Coroaci;2;2;2;2;4;
MG;3119302;Coromandel;4;2;4;3;3;
MG;3119401;Coronel Fabriciano;3;3;2;4;6;
MG;3119500;Coronel Murta;2;2;2;2;3;
MG;3119609;Coronel Pacheco;2;3;3;4;6;
MG;3119708;Coronel Xavier Chaves;2;2;2;2;1;
MG;3119807;Córrego Danta;;4;2;2;2;
MG;3119906;Córrego do Bom Jesus;2;2;2;3;2;
MG;3119955;Córrego Fundo;2;2;3;2;3;
MG;3120003;Córrego Novo;2;2;3;2;2;
MG;3120102;Couto de Magalhães de Minas;4;2;4;;3;
MG;3120151;Crisólita;2;2;4;2;2;
MG;3120201;Cristais;4;2;3;2;2;
MG;3120300;Cristália;2;2;2;2;3;
MG;3120409;Cristiano Otoni;2;3;3;;3;
MG;3120508;Cristina;4;1;3;3;3;
MG;3120607;Crucilândia;4;2;2;2;2;
MG;3120706;Cruzeiro da Fortaleza;2;2;3;3;2;
MG;3120805;Cruzília;3;3;4;2;3;
MG;3120839;Cuparaque;2;2;2;2;2;
MG;3120870;Curral de Dentro;2;2;2;2;2;
MG;3120904;Curvelo;2;4;3;2;4;
MG;3121001;Datas;2;2;2;;3;
MG;3121100;Delfim Moreira;5;2;4;2;2;
MG;3121209;Delfinópolis;2;2;2;2;3;
MG;3121258;Delta;3;3;2;;1;
MG;3121308;Descoberto;2;3;3;2;2;
MG;3121407;Desterro de Entre Rios;3;3;3;3;5;
MG;3121506;Desterro do Melo;2;2;2;2;2;
MG;3121605;Diamantina;3;3;;4;2;
MG;3121704;Diogo de Vasconcelos;2;2;2;2;1;
MG;3121803;Dionísio;4;3;3;3;2;
MG;3121902;Divinésia;2;2;2;3;3;
MG;3122009;Divino;3;2;2;3;2;
MG;3122108;Divino das Laranjeiras;2;2;2;2;2;
MG;3122207;Divinolândia de Minas;3;2;2;2;3;
MG;3122306;Divinópolis;2;5;5;5;9;
MG;3122355;Divisa Alegre;3;4;2;3;2;
MG;3122405;Divisa Nova;2;2;2;1;2;
MG;3122454;Divisópolis;2;2;2;2;4;
MG;3122470;Dom Bosco;2;2;2;3;4;
MG;3122504;Dom Cavati;3;2;2;3;2;
MG;3122603;Dom Joaquim;2;4;2;2;4;
MG;3122702;Dom Silvério;2;2;2;3;3;
MG;3122801;Dom Viçoso;5;2;2;2;3;
MG;3122900;Dona Eusébia;3;3;3;;3;
MG;3123007;Dores de Campos;5;2;2;2;3;
MG;3123106;Dores de Guanhães;3;2;4;2;2;
MG;3123205;Dores do Indaiá;3;5;;;3;
MG;3123304;Dores do Turvo;3;3;2;3;2;
MG;3123403;Doresópolis;2;2;2;1;3;
MG;3123502;Douradoquara;2;2;;;2;
MG;3123528;Durandé;3;2;2;2;2;
MG;3123601;Elói Mendes;3;2;3;2;4;
MG;3123700;Engenheiro Caldas;2;2;2;2;2;
MG;3123809;Engenheiro Navarro;3;3;3;3;3;
MG;3123858;Entre Folhas;2;3;3;4;3;
MG;3123908;Entre Rios de Minas;5;3;3;3;4;
MG;3124005;Ervália;2;2;4;2;2;
MG;3124104;Esmeraldas;4;2;4;4;10;
MG;3124203;Espera Feliz;2;2;;2;4;
MG;3124302;Espinosa;3;2;2;;5;
MG;3124401;Espírito Santo do Dourado;2;2;2;1;2;
MG;3124500;Estiva;2;2;2;3;2;
MG;3124609;Estrela Dalva;3;2;2;3;2;
MG;3124708;Estrela do Indaiá;2;2;2;2;2;
MG;3124807;Estrela do Sul;4;2;2;2;2;
MG;3124906;Eugenópolis;2;3;3;4;2;
MG;3125002;Ewbank da Câmara;2;2;3;;3;
MG;3125101;Extrema;2;2;4;4;2;
MG;3125200;Fama;2;2;3;2;2;
MG;3125309;Faria Lemos;2;2;2;2;2;
MG;3125408;Felício dos Santos;3;2;3;2;2;
MG;3125507;São Gonçalo do Rio Preto;2;2;2;2;3;
MG;3125606;Felisburgo;4;2;2;2;4;
MG;3125705;Felixlândia;;3;;;1;
MG;3125804;Fernandes Tourinho;2;2;;2;2;
MG;3125903;Ferros;3;2;3;2;4;
MG;3125952;Fervedouro;3;2;3;2;2;
MG;3126000;Florestal;3;2;3;3;2;
MG;3126109;Formiga;3;3;4;2;2;
MG;3126208;Formoso;2;5;2;3;1;
MG;3126307;Fortaleza de Minas;3;2;2;2;2;
MG;3126406;Fortuna de Minas;3;3;2;;2;
MG;3126505;Francisco Badaró;2;2;2;2;2;
MG;3126604;Francisco Dumont;3;2;2;2;3;
MG;3126703;Francisco Sá;2;4;2;4;3;
MG;3126752;Franciscópolis;2;2;3;2;2;
MG;3126802;Frei Gaspar;3;2;2;3;2;
MG;3126901;Frei Inocêncio;3;2;3;2;5;
MG;3126950;Frei Lagonegro;2;2;2;2;2;
MG;3127008;Fronteira;3;3;3;3;3;
MG;3127057;Fronteira dos Vales;2;3;4;3;2;
MG;3127073;Fruta de Leite;2;2;2;2;3;
MG;3127107;Frutal;3;3;3;3;7;
MG;3127206;Funilândia;2;3;4;2;4;
MG;3127305;Galiléia;2;3;3;4;3;
MG;3127339;Gameleiras;2;2;1;1;2;
MG;3127354;Glaucilândia;3;2;2;3;3;
MG;3127370;Goiabeira;2;2;3;2;2;
MG;3127388;Goianá;3;2;2;3;3;
MG;3127404;Gonçalves;3;2;3;2;3;
MG;3127503;Gonzaga;2;2;3;2;2;
MG;3127602;Gouveia;3;2;2;2;2;
MG;3127701;Governador Valadares;;4;5;4;;
MG;3127800;Grão Mogol;1;1;2;;2;
MG;3127909;Grupiara;2;2;1;3;2;
MG;3128006;Guanhães;3;2;2;4;3;
MG;3128105;Guapé;2;3;3;3;2;
MG;3128204;Guaraciaba;3;3;3;2;3;
MG;3128253;Guaraciama;3;2;2;;3;
MG;3128303;Guaranésia;3;3;2;2;2;
MG;3128402;Guarani;2;2;2;2;3;
MG;3128501;Guarará;2;2;2;3;2;
MG;3128600;Guarda-Mor;2;2;2;1;3;
MG;3128709;Guaxupé;4;3;4;3;5;
MG;3128808;Guidoval;6;3;2;2;3;
MG;3128907;Guimarânia;3;2;2;3;2;
MG;3129004;Guiricema;2;2;2;2;2;
MG;3129103;Gurinhatã;2;1;4;2;3;
MG;3129202;Heliodora;4;4;6;3;3;
MG;3129301;Iapu;2;2;2;2;4;
MG;3129400;Ibertioga;3;2;2;2;4;
MG;3129509;Ibiá;3;2;5;;5;
MG;3129608;Ibiaí;;4;2;3;5;
MG;3129657;Ibiracatu;2;2;2;;5;
MG;3129707;Ibiraci;2;2;2;3;6;
MG;3129806;Ibirité;3;3;3;3;5;
MG;3129905;Ibitiúra de Minas;2;2;2;3;1;
MG;3130002;Ibituruna;3;2;3;2;2;
MG;3130051;Icaraí de Minas;2;3;2;2;2;
MG;3130101;Igarapé;2;2;2;3;4;
MG;3130200;Igaratinga;4;4;1;2;3;
MG;3130309;Iguatama;2;3;3;2;3;
MG;3130408;Ijaci;4;3;3;3;4;
MG;3130507;Ilicínea;2;2;4;3;4;
MG;3130556;Imbé de Minas;4;2;2;2;4;
MG;3130606;Inconfidentes;2;2;2;2;5;
MG;3130655;Indaiabira;3;2;2;2;2;
MG;3130705;Indianópolis;3;3;2;2;3;
MG;3130804;Ingaí;2;2;2;2;2;
MG;3130903;Inhapim;5;2;5;2;3;
MG;3131000;Inhaúma;2;2;4;2;2;
MG;3131109;Inimutaba;2;2;2;1;2;
MG;3131158;Ipaba;4;3;3;5;2;
MG;3131208;Ipanema;1;3;2;2;4;
MG;3131307;Ipatinga;;5;4;6;7;
MG;3131406;Ipiaçu;2;4;5;3;3;
MG;3131505;Ipuiúna;2;2;2;2;2;
MG;3131604;Iraí de Minas;2;2;2;2;2;
MG;3131703;Itabira;5;2;4;5;6;
MG;3131802;Itabirinha de Mantena;2;3;3;2;2;
MG;3131901;Itabirito;3;2;5;3;4;
MG;3132008;Itacambira;3;1;2;2;3;
MG;3132107;Itacarambi;3;3;;2;4;
MG;3132206;Itaguara;2;2;2;;2;
MG;3132305;Itaipé;2;2;3;4;3;
MG;3132404;Itajubá;5;5;5;3;6;
MG;3132503;Itamarandiba;3;2;5;5;2;
MG;3132602;Itamarati de Minas;4;2;2;2;1;
MG;3132701;Itambacuri;4;4;2;2;5;
MG;3132800;Itambé do Mato Dentro;2;3;2;2;2;
MG;3132909;Itamogi;4;2;2;4;2;
MG;3133006;Itamonte;2;2;2;3;2;
MG;3133105;Itanhandu;3;3;3;4;4;
MG;3133204;Itanhomi;2;2;3;4;2;
MG;3133303;Itaobim;3;3;2;2;4;
MG;3133402;Itapagipe;4;2;3;2;3;
MG;3133501;Itapecerica;2;4;3;2;2;
MG;3133600;Itapeva;2;3;4;3;2;
MG;3133709;Itatiaiuçu;2;2;4;2;3;
MG;3133758;Itaú de Minas;3;3;3;3;3;
MG;3133808;Itaúna;2;4;4;5;6;
MG;3133907;Itaverava;5;2;3;3;3;
MG;3134004;Itinga;3;3;4;3;1;
MG;3134103;Itueta;2;2;2;2;3;
MG;3134202;Ituiutaba;5;3;3;5;6;
MG;3134301;Itumirim;2;2;5;3;4;
MG;3134400;Iturama;5;4;2;3;4;
MG;3134509;Itutinga;3;2;2;3;3;
MG;3134608;Jaboticatubas;4;3;2;4;4;
MG;3134707;Jacinto;5;2;4;2;2;
MG;3134806;Jacuí;2;1;2;4;4;
MG;3134905;Jacutinga;2;1;2;3;3;
MG;3135001;Jaguaraçu;3;3;1;3;2;
MG;3135050;Jaíba;2;3;3;3;6;
MG;3135076;Jampruca;2;2;3;3;1;
MG;3135100;Janaúba;2;3;3;7;8;
MG;3135209;Januária;4;3;6;;7;
MG;3135308;Japaraíba;3;2;5;2;1;
MG;3135357;Japonvar;3;2;2;4;2;
MG;3135407;Jeceaba;;4;2;3;3;
MG;3135456;Jenipapo de Minas;3;3;1;3;2;
MG;3135506;Jequeri;2;3;2;2;3;
MG;3135605;Jequitaí;2;2;2;3;4;
MG;3135704;Jequitibá;3;2;3;1;4;
MG;3135803;Jequitinhonha;3;2;2;;4;
MG;3135902;Jesuânia;3;3;1;2;2;
MG;3136009;Joaíma;2;3;2;4;2;
MG;3136108;Joanésia;3;3;2;3;4;
MG;3136207;João Monlevade;3;3;3;3;5;
MG;3136306;João Pinheiro;4;2;3;2;2;
MG;3136405;Joaquim Felício;2;2;3;2;2;
MG;3136504;Jordânia;3;2;2;2;2;
MG;3136520;José Gonçalves de Minas;2;1;2;2;2;
MG;3136553;José Raydan;2;2;2;4;2;
MG;3136579;Josenópolis;2;2;2;2;2;
MG;3136603;Nova União;3;3;2;3;1;
MG;3136652;Juatuba;1;4;4;6;4;
MG;3136702;Juiz de Fora;6;6;;7;10;
MG;3136801;Juramento;4;3;2;;3;
MG;3136900;Juruaia;2;2;2;2;3;
MG;3136959;Juvenília;2;3;3;2;2;
MG;3137007;Ladainha;3;2;2;2;3;
MG;3137106;Lagamar;4;2;2;2;5;
MG;3137205;Lagoa da Prata;4;3;6;3;6;
MG;3137304;Lagoa dos Patos;2;2;;3;3;
MG;3137403;Lagoa Dourada;4;3;2;2;2;
MG;3137502;Lagoa Formosa;3;2;2;2;2;
MG;3137536;Lagoa Grande;3;2;2;2;2;
MG;3137601;Lagoa Santa;5;3;3;3;6;
MG;3137700;Lajinha;2;3;2;2;2;
MG;3137809;Lambari;5;4;2;4;8;
MG;3137908;Lamim;2;2;2;2;1;
MG;3138005;Laranjal;2;2;2;3;3;
MG;3138104;Lassance;2;3;3;;2;
MG;3138203;Lavras;4;3;4;4;5;
MG;3138302;Leandro Ferreira;3;3;2;2;2;
MG;3138351;Leme do Prado;2;2;2;2;3;
MG;3138401;Leopoldina;2;3;3;2;6;
MG;3138500;Liberdade;5;2;4;;4;
MG;3138609;Lima Duarte;2;2;5;3;4;
MG;3138625;Limeira do Oeste;3;3;3;2;3;
MG;3138658;Lontra;2;2;2;;2;
MG;3138674;Luisburgo;2;2;2;2;3;
MG;3138682;Luislândia;2;2;2;3;3;
MG;3138708;Luminárias;3;3;3;2;3;
MG;3138807;Luz;5;3;2;3;3;
MG;3138906;Machacalis;3;3;2;1;3;
MG;3139003;Machado;3;2;3;5;4;
MG;3139102;Madre de Deus de Minas;2;3;3;2;4;
MG;3139201;Malacacheta;2;2;3;2;5;
MG;3139250;Mamonas;1;2;2;3;2;
MG;3139300;Manga;4;5;4;2;6;
MG;3139409;Manhuaçu;3;2;3;;5;
MG;3139508;Manhumirim;4;3;3;3;7;
MG;3139607;Mantena;4;3;;3;3;
MG;3139706;Maravilhas;2;2;3;3;2;
MG;3139805;Mar de Espanha;3;2;2;2;2;
MG;3139904;Maria da Fé;5;5;3;9;5;
MG;3140001;Mariana;2;5;7;4;5;
MG;3140100;Marilac;2;2;2;2;2;
MG;3140159;Mário Campos;6;2;2;4;5;
MG;3140209;Maripá de Minas;2;2;2;1;2;
MG;3140308;Marliéria;2;3;3;2;3;
MG;3140407;Marmelópolis;4;2;2;3;2;
MG;3140506;Martinho Campos;3;3;3;2;3;
MG;3140530;Martins Soares;3;2;2;2;2;
MG;3140555;Mata Verde;2;3;3;2;4;
MG;3140605;Materlândia;2;2;2;2;2;
MG;3140704;Mateus Leme;5;4;3;;4;
MG;3140803;Matias Barbosa;4;2;3;4;4;
MG;3140852;Matias Cardoso;2;3;3;;2;
MG;3140902;Matipó;3;2;2;2;2;
MG;3141009;Mato Verde;2;2;3;3;2;
MG;3141108;Matozinhos;4;7;4;4;5;
MG;3141207;Matutina;2;2;2;3;2;
MG;3141306;Medeiros;2;3;2;2;2;
MG;3141405;Medina;3;3;4;4;5;
MG;3141504;Mendes Pimentel;2;2;2;2;3;
MG;3141603;Mercês;2;2;3;;2;
MG;3141702;Mesquita;2;2;3;2;2;
MG;3141801;Minas Novas;3;2;3;2;2;
MG;3141900;Minduri;4;3;2;3;3;
MG;3142007;Mirabela;2;3;3;2;2;
MG;3142106;Miradouro;2;2;2;3;3;
MG;3142205;Miraí;3;3;4;3;2;
MG;3142254;Miravânia;2;2;2;2;3;
MG;3142304;Moeda;3;4;2;6;3;
MG;3142403;Moema;3;2;2;2;3;
MG;3142502;Monjolos;3;2;2;3;1;
MG;3142601;Monsenhor Paulo;2;2;2;3;2;
MG;3142700;Montalvânia;3;3;2;3;4;
MG;3142809;Monte Alegre de Minas;2;2;3;2;2;
MG;3142908;Monte Azul;2;2;2;2;3;
MG;3143005;Monte Belo;;3;3;3;3;
MG;3143104;Monte Carmelo;3;2;6;6;6;
MG;3143153;Monte Formoso;2;2;2;2;2;
MG;3143203;Monte Santo de Minas;2;4;2;3;2;
MG;3143302;Montes Claros;4;4;6;;8;
MG;3143401;Monte Sião;2;2;2;3;3;
MG;3143450;Montezuma;2;2;;3;2;
MG;3143500;Morada Nova de Minas;3;2;3;3;5;
MG;3143609;Morro da Garça;3;3;2;2;2;
MG;3143708;Morro do Pilar;2;3;3;2;2;
MG;3143807;Munhoz;2;2;2;;2;
MG;3143906;Muriaé;6;3;3;3;4;
MG;3144003;Mutum;2;2;4;2;3;
MG;3144102;Muzambinho;;3;2;3;3;
MG;3144201;Nacip Raydan;3;3;2;2;3;
MG;3144300;Nanuque;4;3;;7;8;
MG;3144359;Naque;2;4;3;3;2;
MG;3144375;Natalândia;2;2;2;3;1;
MG;3144409;Natércia;2;3;3;3;3;
MG;3144508;Nazareno;2;2;2;2;4;
MG;3144607;Nepomuceno;3;2;4;3;4;
MG;3144656;Ninheira;2;2;2;1;3;
MG;3144672;Nova Belém;2;3;3;2;4;
MG;3144706;Nova Era;3;2;3;2;5;
MG;3144805;Nova Lima;2;3;3;;6;
MG;3144904;Nova Módica;2;3;3;2;2;
MG;3145000;Nova Ponte;3;2;2;2;3;
MG;3145059;Nova Porteirinha;2;2;2;3;4;
MG;3145109;Nova Resende;3;2;3;3;2;
MG;3145208;Nova Serrana;4;2;3;;4;
MG;3145307;Novo Cruzeiro;2;2;4;2;5;
MG;3145356;Novo Oriente de Minas;2;2;2;2;2;
MG;3145372;Novorizonte;2;2;3;2;2;
MG;3145406;Olaria;2;2;3;2;2;
MG;3145455;Olhos-d'Água;3;3;2;2;2;
MG;3145505;Olímpio Noronha;3;1;2;2;2;
MG;3145604;Oliveira;3;4;3;4;4;
MG;3145703;Oliveira Fortes;2;2;2;3;1;
MG;3145802;Onça de Pitangui;2;2;2;3;2;
MG;3145851;Oratórios;3;2;3;4;2;
MG;3145877;Orizânia;3;2;3;2;3;
MG;3145901;Ouro Branco;;3;5;9;5;
MG;3146008;Ouro Fino;3;3;;;5;
MG;3146107;Ouro Preto;4;2;5;4;4;
MG;3146206;Ouro Verde de Minas;2;3;3;4;4;
MG;3146255;Padre Carvalho;2;2;3;2;2;
MG;3146305;Padre Paraíso;2;2;;4;4;
MG;3146404;Paineiras;2;3;;3;2;
MG;3146503;Pains;;2;2;;3;
MG;3146552;Pai Pedro;2;3;2;2;3;
MG;3146602;Paiva;2;2;3;2;2;
MG;3146701;Palma;2;2;2;2;2;
MG;3146750;Palmópolis;2;3;2;3;2;
MG;3146909;Papagaios;3;2;2;3;2;
MG;3147006;Paracatu;2;4;4;3;8;
MG;3147105;Pará de Minas;5;5;4;4;7;
MG;3147204;Paraguaçu;4;3;3;3;4;
MG;3147303;Paraisópolis;5;2;3;2;4;
MG;3147402;Paraopeba;3;3;5;4;2;
MG;3147501;Passabém;4;2;2;2;2;
MG;3147600;Passa Quatro;3;2;2;;3;
MG;3147709;Passa Tempo;4;2;3;3;3;
MG;3147808;Passa-Vinte;4;2;2;2;2;
MG;3147907;Passos;3;3;5;3;7;
MG;3147956;Patis;2;2;2;2;3;
MG;3148004;Patos de Minas;3;3;4;3;7;
MG;3148103;Patrocínio;3;3;3;5;3;
MG;3148202;Patrocínio do Muriaé;5;2;2;3;2;
MG;3148301;Paula Cândido;3;3;2;2;2;
MG;3148400;Paulistas;2;3;;2;2;
MG;3148509;Pavão;2;1;2;3;2;
MG;3148608;Peçanha;2;2;3;2;2;
MG;3148707;Pedra Azul;2;2;3;2;2;
MG;3148756;Pedra Bonita;2;2;2;3;2;
MG;3148806;Pedra do Anta;2;2;2;3;2;
MG;3148905;Pedra do Indaiá;2;2;2;2;3;
MG;3149002;Pedra Dourada;2;2;2;2;2;
MG;3149101;Pedralva;3;7;7;4;4;
MG;3149150;Pedras de Maria da Cruz;4;3;5;2;3;
MG;3149200;Pedrinópolis;2;2;3;3;2;
MG;3149309;Pedro Leopoldo;3;3;4;2;7;
MG;3149408;Pedro Teixeira;2;2;2;2;2;
MG;3149507;Pequeri;4;3;3;2;2;
MG;3149606;Pequi;2;3;2;3;2;
MG;3149705;Perdigão;2;2;2;2;2;
MG;3149804;Perdizes;3;2;1;3;5;
MG;3149903;Perdões;4;3;2;3;2;
MG;3149952;Periquito;2;4;2;;2;
MG;3150000;Pescador;2;3;2;4;3;
MG;3150109;Piau;2;3;2;2;2;
MG;3150158;Piedade de Caratinga;2;3;2;4;4;
MG;3150208;Piedade de Ponte Nova;2;3;2;2;2;
MG;3150307;Piedade do Rio Grande;2;4;2;4;2;
MG;3150406;Piedade dos Gerais;2;2;2;2;6;
MG;3150505;Pimenta;2;4;2;2;3;
MG;3150539;Pingo-d'Água;2;2;2;2;3;
MG;3150570;Pintópolis;2;3;4;4;1;
MG;3150604;Piracema;2;3;3;2;2;
MG;3150703;Pirajuba;3;3;2;2;2;
MG;3150802;Piranga;3;3;2;2;2;
MG;3150901;Piranguçu;5;3;3;4;1;
MG;3151008;Piranguinho;4;2;2;2;3;
MG;3151107;Pirapetinga;3;3;4;2;6;
MG;3151206;Pirapora;3;2;2;2;6;
MG;3151305;Piraúba;4;2;2;3;2;
MG;3151404;Pitangui;4;4;2;3;3;
MG;3151503;Piumhi;2;2;4;;3;
MG;3151602;Planura;4;2;3;2;3;
MG;3151701;Poço Fundo;4;3;3;2;4;
MG;3151800;Poços de Caldas;3;4;7;;9;
MG;3151909;Pocrane;2;2;4;2;2;
MG;3152006;Pompéu;3;3;3;4;2;
MG;3152105;Ponte Nova;3;4;5;5;6;
MG;3152131;Ponto Chique;3;2;2;;2;
MG;3152170;Ponto dos Volantes;2;2;2;2;2;
MG;3152204;Porteirinha;3;4;4;3;5;
MG;3152303;Porto Firme;3;2;3;1;2;
MG;3152402;Poté;3;4;3;;5;
MG;3152501;Pouso Alegre;5;3;3;5;6;
MG;3152600;Pouso Alto;2;1;3;4;4;
MG;3152709;Prados;4;2;2;2;2;
MG;3152808;Prata;3;4;2;2;2;
MG;3152907;Pratápolis;4;2;3;2;2;
MG;3153004;Pratinha;2;2;3;2;2;
MG;3153103;Presidente Bernardes;3;2;2;2;2;
MG;3153202;Presidente Juscelino;2;2;3;2;1;
MG;3153301;Presidente Kubitschek;2;1;2;2;2;
MG;3153400;Presidente Olegário;3;2;3;2;2;
MG;3153509;Alto Jequitibá;3;2;1;2;3;
MG;3153608;Prudente de Morais;2;2;3;4;3;
MG;3153707;Quartel Geral;4;2;1;2;2;
MG;3153806;Queluzito;1;2;2;;2;
MG;3153905;Raposos;6;4;8;6;2;
MG;3154002;Raul Soares;5;2;4;5;4;
MG;3154101;Recreio;3;2;2;2;3;
MG;3154150;Reduto;3;2;2;2;5;
MG;3154200;Resende Costa;4;4;3;2;3;
MG;3154309;Resplendor;;1;4;3;2;
